Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/post-imagem-1mb/,591,0,5400.0,5339.498860125214,1316.359324000132,9060.63726100001,12914.0,4.95709406981339,0.0,5400,5900,6400,6700,7300,7600,8100,8200,9100,9100,9100
GET,/post-imagem-300kb/,657,0,5300.0,5108.647956068492,994.9141300000974,9350.362609000058,12914.0,5.510678179132652,0.0,5300,5900,6200,6600,7200,7600,8000,8300,9400,9400,9400
GET,/post-texto-400k/,624,0,5300.0,5248.669921387817,1139.2079269999158,9312.553708999985,12914.0,5.233886124473021,0.0,5300,5900,6400,6700,7300,7700,7900,8100,9300,9300,9300
,Aggregated,1872,0,5300.0,5228.202758769763,994.9141300000974,9350.362609000058,12914.0,15.701658373419065,0.0,5300,5900,6300,6700,7300,7600,8000,8200,9300,9400,9400
