Method,Name,Error,Occurrences
GET,/post-imagem-300kb/,500 Server Error: Internal Server Error for url: http://nginx/post-imagem-300kb/,113
GET,/post-imagem-300kb/,500 Server Error: Internal Server Error for url: http://nginx/wp-admin/install.php,106
