Method,Name,Error,Occurrences
GET,/post-texto-400k/,500 Server Error: Internal Server Error for url: http://nginx/wp-admin/install.php,18
GET,/post-texto-400k/,500 Server Error: Internal Server Error for url: http://nginx/post-texto-400k/,26
GET,/post-imagem-300kb/,500 Server Error: Internal Server Error for url: http://nginx/post-imagem-300kb/,21
GET,/post-imagem-300kb/,500 Server Error: Internal Server Error for url: http://nginx/wp-admin/install.php,21
GET,/post-imagem-1mb/,500 Server Error: Internal Server Error for url: http://nginx/wp-admin/install.php,25
GET,/post-imagem-1mb/,500 Server Error: Internal Server Error for url: http://nginx/post-imagem-1mb/,21
