Method,Name,Error,Occurrences
GET,/post-imagem-1mb/,500 Server Error: Internal Server Error for url: http://nginx/wp-admin/install.php,73
GET,/post-imagem-1mb/,500 Server Error: Internal Server Error for url: http://nginx/post-imagem-1mb/,141
