Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/post-texto-400k/,2136,123,7800.0,6592.3399385973835,283.2285829999819,10535.803014000066,12338.071629213484,17.903272533581145,1.0309468734225098,7800,8400,8600,8700,9000,9200,9600,9800,11000,11000,11000
,Aggregated,2136,123,7800.0,6592.3399385973835,283.2285829999819,10535.803014000066,12338.071629213484,17.903272533581145,1.0309468734225098,7800,8400,8600,8700,9000,9200,9600,9800,11000,11000,11000
