Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/post-imagem-1mb/,2198,214,7600.0,6416.214042227933,50.45412900017254,12455.231818999891,11936.51364877161,18.375176965925224,1.7890299684749762,7600,8200,8500,8700,9300,9800,11000,11000,12000,12000,12000
,Aggregated,2198,214,7600.0,6416.214042227933,50.45412900017254,12455.231818999891,11936.51364877161,18.375176965925224,1.7890299684749762,7600,8200,8500,8700,9300,9800,11000,11000,12000,12000,12000
