Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/post-imagem-1mb/,679,0,7400.0,6580.183364443297,1201.370167999812,9674.559599999839,12914.0,5.703870842152754,0.0,7400,7700,7900,8100,8300,8700,9100,9300,9700,9700,9700
GET,/post-imagem-300kb/,780,0,7100.0,6213.548900461538,1006.7924640000001,9474.290340999914,12914.0,6.552311129424371,0.0,7100,7600,7800,8000,8300,8600,8900,9100,9500,9500,9500
GET,/post-texto-400k/,732,0,7300.0,6405.2225053456195,1206.9490669998686,10105.816485000105,12914.0,6.149091982998256,0.0,7300,7700,7900,8000,8300,8600,8900,9100,10000,10000,10000
,Aggregated,2191,0,7300.0,6391.207448986768,1006.7924640000001,10105.816485000105,12914.0,18.40527395457538,0.0,7300,7600,7900,8000,8300,8600,9000,9200,9700,10000,10000
