Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/2026/04/22/post-texto-400k/,150,0,640.0,782.2792921066628,487.2747520003031,1363.3367100001124,12914.0,2.975951274337831,0.0,640,890,1100,1100,1200,1300,1300,1300,1400,1400,1400
,Aggregated,150,0,640.0,782.2792921066628,487.2747520003031,1363.3367100001124,12914.0,2.975951274337831,0.0,640,890,1100,1100,1200,1300,1300,1300,1400,1400,1400
